Iteration: 1000, Depth: 2, Hn: 16, Fn: 18, Qsize: 9317, New Children: 10
Iteration: 2000, Depth: 3, Hn: 15, Fn: 18, Qsize: 17959, New Children: 12
Iteration: 3000, Depth: 6, Hn: 12, Fn: 18, Qsize: 26377, New Children: 16
Iteration: 4000, Depth: 6, Hn: 13, Fn: 19, Qsize: 34949, New Children: 10
Iteration: 5000, Depth: 4, Hn: 15, Fn: 19, Qsize: 43084, New Children: 3
Iteration: 6000, Depth: 8, Hn: 11, Fn: 19, Qsize: 50849, New Children: 8
Iteration: 7000, Depth: 5, Hn: 14, Fn: 19, Qsize: 59141, New Children: 11
Iteration: 8000, Depth: 4, Hn: 15, Fn: 19, Qsize: 67148, New Children: 12
Iteration: 9000, Depth: 5, Hn: 14, Fn: 19, Qsize: 74140, New Children: 7
Iteration: 10000, Depth: 5, Hn: 14, Fn: 19, Qsize: 80982, New Children: 7
Iteration: 11000, Depth: 5, Hn: 14, Fn: 19, Qsize: 89140, New Children: 5
Iteration: 12000, Depth: 4, Hn: 15, Fn: 19, Qsize: 97266, New Children: 4
Iteration: 13000, Depth: 7, Hn: 12, Fn: 19, Qsize: 104500, New Children: 12
Iteration: 14000, Depth: 6, Hn: 13, Fn: 19, Qsize: 111855, New Children: 11
Iteration: 15000, Depth: 6, Hn: 13, Fn: 19, Qsize: 119050, New Children: 12
Iteration: 16000, Depth: 5, Hn: 15, Fn: 20, Qsize: 126727, New Children: 15
Iteration: 17000, Depth: 7, Hn: 13, Fn: 20, Qsize: 135248, New Children: 7
Iteration: 18000, Depth: 7, Hn: 13, Fn: 20, Qsize: 143323, New Children: 10
Iteration: 19000, Depth: 7, Hn: 13, Fn: 20, Qsize: 150871, New Children: 11
Iteration: 20000, Depth: 6, Hn: 14, Fn: 20, Qsize: 158280, New Children: 7
Iteration: 21000, Depth: 6, Hn: 14, Fn: 20, Qsize: 165772, New Children: 15
Iteration: 22000, Depth: 5, Hn: 13, Fn: 18, Qsize: 172511, New Children: 15
Iteration: 23000, Depth: 7, Hn: 13, Fn: 20, Qsize: 179992, New Children: 8
Iteration: 24000, Depth: 7, Hn: 13, Fn: 20, Qsize: 186700, New Children: 9
Iteration: 25000, Depth: 5, Hn: 15, Fn: 20, Qsize: 193541, New Children: 6
Iteration: 26000, Depth: 8, Hn: 12, Fn: 20, Qsize: 200263, New Children: 10
Iteration: 27000, Depth: 6, Hn: 14, Fn: 20, Qsize: 207456, New Children: 12
Iteration: 28000, Depth: 4, Hn: 16, Fn: 20, Qsize: 216421, New Children: 4
Iteration: 29000, Depth: 7, Hn: 12, Fn: 19, Qsize: 224497, New Children: 9
